characteristic_1	characteristic_2	characteristic_3	characteristic_4	characteristic_5
Мне 30 лет.	У меня двое детей.	Я люблю танцевать.	Люблю желтый цвет.	Люблю читать.	
Я высокий	У меня высшее образование	Я люблю свою жену	Я люблю животных	У меня хорошая жена	
Занимаюсь танцами	Работаю артисткой шоу-балета в клубе	Замужем	Муж ди-джей	Люблю улиток	
Я парень	Я хочу познакомится с девушкой	У меня есть машина	Скоро еду отдыхать	Я люблю лето	
Я занимаюсь рукоделием	Я смотрю кино	Я счастлива	Я замужем	Я езжу на машине	
У меня 2 детей.	Я люблю готовить.	У меня есть шуба.	Я бухгалтер.	Я люблю кошек.	
Я студент.	Я нумизмат.	Я люблю историю.	Мое любимое время года - зима.	Я за здоровый образ жизни.	
Я футболист	Я люблю забивать голы	Я пою	Я люблю ходить в кепке	Я спортсмен	
Я не женат.	Нахожусь в активном поиске.	Я люблю слушать рок.	У меня есть собака.	люблю готовить.	
я собираю монеты.	я вышла замуж.	я разбираюсь в истории.	мой любимый цвет - белый.	у меня есть кот.	
Я парень.	Люблю играть в футбол.	Я люблю учить футболу.	Я мечтатель	Я физрук	
Я быстро бегаю.	Я увлекаюсь	Я купил черепаху.	Я люблю пельмени .	Я люблю работать.	
У меня есть работа.	У меня есть хобби.	Я хорошо пеку тортики.	Я люблю людей.	У меня есть внук.	
Я работаю инженером	Я по натуре семьянин	Вчера поймал крупную щуку	Я люблю водить авто	Я собираю коллекцию марок	
Я живу на улице	Хожу по магазинам	Люблю узнавать новости	Со мной скучно	Мечтаю о жизни	
Я мужчина 40 лет.	У меня еврейские корни.	Люблю убираться.	Переплыл Неву.	Хочу жить в Казани.	
Я начальник фирмы.	Я женат.	У меня есть сын.	У меня есть вредные привычки.	Мне нравится Петросян.	
я любовник	у меня красный нос	есть магнитофон	люблю петь	играю на дудке	
я бухгалтер	я замужем второй раз	я развожу розы	я люблю путешествовать	я хочу полетать на вертолете	
Я кондитер.	У меня есть семья.	У меня есть собака.	Я люблю комнатные цветы.	Я читаю детективы.	
Я домохозяйка.	Я не замужем.	Я люблю вышивать.	Я никогда не была заграницей.	У меня есть кот.	
Я люблю лето	Я мечтаю выйти замуж	Разговариваю на трёх языках	Учусь водить автомобиль	Я боюсь пауков	
Я - воспитательница!	У меня 30 детей	Не могу жить без воды	Мечтаю о море	Обожаю игрушки.	
Я студент	Живу в общежитии	Денег хватает только на еду	У меня нет девушки	У меня много друзей	
Люблю мультики смотреть.	Живу я с братом.	Я люблю бананы.	Я меня есть права.	Люблю море.	
Я люблю путешествовать	Я люблю рисовать	У меня есть хомяк	Я хочу завести семью	Я работаю дизайнером	
я студент	мечтаю стать врачом	люблю походы	у меня есть собака	я люблю ходить в горы	
Я стоматолог.	Не люблю свою работу.	Люблю корейскую кухню.	Собираюсь купить виар.	Люблю игры.	
Я путешественница.	Я люблю все новое.	Я люблю общаться.	Я люблю пить чай.	Я родилась в деревне.	
Я парикмахер.	Я доволен своей работой.	Я бегаю по утрам.	Я не женат.	У меня есть собачка.	
Я преподаватель русского языка	У меня нет мужа и детей	Живу одна с котом	Содержу огород	Люблю цветы	
Я музыкант.	Люблю веселые компании.	Увлекаюсь охотой.	Люблю мотоциклы.	Люблю собирать грибы.	
Я секретарь.	У меня трое детей.	Я люблю путешествия.	Мне нравится хип-хоп.	Я разносторонняя .	
Я высокая.	Мне 11 лет.	Я буду моделью.	У меня новое платье.	Я люблю клубнику.	
Обвенчались на берегу моря	люблю готовить	Работаю в банке	Люблю бывать на природе	Есть 2 ребенка	
я студент	я живу в Чехии	я ношу очки	у меня есть две кошки	я люблю итальянскую еду	
Я сисадмин	Люблю копаться в саду	Я живу на работе	Я люблю ездить на мото	У меня разбитые коленки	
Я люблю осень.	Люблю походы.	Песни под гитару.	Я люблю чай.	Я люблю лес.	
Я блондинка.	В еде предпочитаю овощи в фрукты.	Люблю мыть посуду.	Не хочу замуж.	Живу с котом.	
я люблю музыку	у меня есть гитара	я играю на гитаре	я гуляю собакой	я люблю собирать грибы	
Я учитель.	У меня есть глобус.	Я хорошо рисую.	Я люблю долго спать.	Я пеку пироги.	
Я бездомный человек.	Я была замужем.	У меня ничего нет.	Я люблю гитару	Я ненавижу алкоголь.	
Я работаю инженером.	У меня на пыль.	Я люблю готовить.	Я люблю лыжи.	У меня пять братьев.	
я люблю джин	я работаю в порту	я люблю море	мое хобби плетение канатов	я плаваю на грузовом судне	
Я женщина	Я зубной техник.	Люблю вышивать.	Люблю музыку.	Знаю несколько языков.	
я хирург	я не умею готовить	люблю читать	не люблю смотреть телевизор	у меня три сестры	
я работаю на складе	езжу на погрузчике	я в разводе	плачу алименты	люблю шашлыки	
Я первоклассник.	Мои родители в разводе.	Мой любимый цвет - жёлтый.	У меня есть лабрадор.	Я умный.	
Я блондинка.	Я люблю СПА.	Люблю своего мужа.	Я живу в частном доме.	Люблю ездить на рыбалку.	
Я стюардесса	У меня есть дочь	Я люблю печь	Я боюсь жуков	Я не умею кататься на велосипеде	
Я фотограф.	У меня есть собака.	Мне нравится фотографировать.	Я люблю шоколад.	Я слушаю поп-рок.	
Я повар.	Я живу в квартире.	Я буду слесарем.	Я хочу уехать на север.	Я поступлю в университет.	
Я адвокат.	У меня трое детей.	Живу на берегу моря.	Коллекционирую вино.	Занимаюсь плаванием.	
Я отличный специалист.	Я хорошо готовлю.	Я люблю детей.	У меня есть собака.	Я не люблю халву.	
Я работаю продавцом	Мои родители умерли	У меня есть хомяк	Я хочу жениться	У меня болит горло	
Я Андрей	Я профессиональный актёр	Очень люблю животных	Живу один	Хочу купить машину	
Я парикмахер.	Я амбидекстр.	У меня есть попугай.	Я вожу УАЗ.	Я брею голову налысо.	
Я учитель.	У меня свой дом.	Я живу с детьми.	Я люблю классическую музыку.	У меня кошка и 2 собаки.	
Я живу на море	У меня двое детей	Я готовлю торты	У меня две сестры	Я делаю красивые прически	
Я пенсионер	Подрабатываю сторожем	Увлекаюсь ходьбой	Люблю смотреть телевизор	У меня есть лабрадор	
Я думаю что я гений	Я люблю Молдавию	Я пью ром	Я блондин	Я никого не люблю	
Я водитель.	У меня сын и дочка.	Я умею чинить машину.	У меня камаз.	У меня есть брат.	
Я кассир	У меня есть кошка	Я замужем	Есть сын	люблю готовить	
Я юрист.	Мой папа бизнесмен.	Я верю в любовь.	Я люблю ананас.	У меня есть кошка.	
Я программист.	Увлекаюсь дайвингом.	Люблю собак.	Воспитываю сына.	Любимый писатель - Рэй Брэдбери.	
У меня борода.	Я ношу с собой нож.	Я люблю кино.	Я женат на рыжей.	Я мечтаю отрезать себе палец.	
люблю рыжих котов	могу сесть на шпагат	я не жаворонок	слушаю петлюру	слепила снеговика	
Девушка, 19 лет.	Учусь на программиста.	Люблю читать.	Встречаюсь с парнем.	Обожаю японскую кухню.	
У меня есть сын.	Я юморист.	Делаю скворечники.	Пеку хлеб.	Пишу музыку.	
Я слетать в космос	Я обожаю рыбалку	Я люблю свою семью	Хочу построить свой дом	Я люблю вкусно поесть	
Я парикмахер.	Я много работаю.	Я живу с родственниками.	У меня есть крыса.	Я люблю плавать.	
Я работаю программистом	Я люблю читать	Я живу в доме	Я люблю гулять	Я мечтаю жить за границей	
Я мужчина.	Я архитектор.	Люблю кофе.	Люблю синий цвет.	Люблю ночной город.	
Я доктор	Имею высшее образование	У меня своя машина	У меня нет детей	Люблю писать стихи	
Работаю в ветклинике	Мечтаю построить приют	Дома у меня три кота	Люблю рыбалку	Ненавижу пауков	
Я школьник	Я люблю играть в компьютер	Я люблю гулять с собакой	Я каждый бегаю	Я не умею готовить	
я снимаю квартиру	я не люблю читать	люблю сериалы	у меня есть кот	я люблю спорт	
Я дворни.	У меня есть жена.	Я живу в большом доме.	Я люблю слушать рок.	Я люблю рыбачить.	
я работаю курьером.	люблю путешествия.	увлекаюсь фотографией.	у меня дома много животных.	я замужем.	
Я продуктивная подружка	Открыла свой бизнес	Не трачу время зря	Люблю сериалы	Живу не по стереотипам	
Я секретарь	Работаю в офисе	Сегодня познакомилась с парнем	Хочу отдыхать	Завтра иду на фитнес	
Я программист.	Я провожу весь день на работе.	Я люблю читать.	У меня нет друзей.	Я хочу разбогатеть.	
Я люблю шить.	У меня есть сестра.	Я люблю походы.	Мой любимый фрукт персик.	Я хорошо бегаю.	
Я школьница.	Я хорошо учусь	Я играю в шашки.	У меня есть котенок.	Я люблю играть с котом	
Я люблю животных	У меня есть собаки	Я люблю котиков	Я люблю пушистиков	У меня есть попугаи	
Я вегетарианка.	Закончила колледж 2 года назад.	Работаю кондитером.	Занимаюсь спортом.	Люблю собак.	
Мне 29 лет .	Не нравятся злые люди .	Женилась на любви .	Мечтаю о машине.	Люблю своих детей .	
я пекарь.	живу в России.	работаю в пекарне больше 7 лет.	люблю лабрадоров.	люблю музыку.	
У меня есть племянница.	Мы любим шить.	Увлекаемся лирикой.	Ездим на природу отдыхать.	Детей нет.	
Я шеф-повар	Я люблю мясо	Я люблю путешествовать	У меня есть 5 детей	У меня есть внучка	
Я маленькая девочка	У меня есть кот	Я люблю рисовать	Я хожу в детский сад	Я люблю свою маму	
Я люблю читать	Я умею плавать	Я преподаватель в школе	Я ношу очки	Я живу в красивом городе	
Я писатель.	Я много мечтаю и слушаю музыку.	Мне нравиться осень.	Не люблю собак.	Я отлично плаваю.	
Учусь в колледже.	У меня есть сестра.	Никто меня не понимает.	Побрилась наголо.	Хочу завести енота.	
Я охранник.	Работаю сейчас в банке.	у меня есть собака	люблю отгадывать кроссворды.	играю в футбол	
Я работаю учителем.	У меня есть котенок.	Я хорошо готовлю.	Я рано вышла замуж.	У меня двое детей.	
Я пишу книги	Я люблю читать	Я ношу очки	Я играю на гитаре	Я никогда не ел авокадо	
Я люблю кошек.	Часто путешествую.	Занимаюсь спортом.	У меня двое детей.	Мое хобби рыбалка.	
Я певица.	У меня двое детей.	Люблю водить автомобиль.	Я живу около парка.	Мечтаю уехать в Испанию.	
Я работаю охранником	Я люблю рыбалку	Я умею готовить	У меня есть жена	Я заказал новую удочку	
Я Саша	У меня есть попугай	Я люблю сноуборд	Мне 25 лет	У меня карие глаза	
Безработный	Я машинист	Люблю дачу.	Играю в лотерею.	Люблю танцевать.	
я пекарь	у меня есть жена и дети	я не люблю собак	я не ем мясо	я много путешествую	
Я замужем	Я вышиваю крестиком	Я люблю путешествовать	У меня высшее образование	У меня сын и дочь	
У меня есть подруга	Я не люблю алкоголь	Хочу в Бразилию	У меня есть собака	Люблю лук	
я домохозяйка	у меня 3 детей	я люблю ездить за город	я неплохо пою	мне нравится сергей лазарев	
я рак по гороскопу	работаю в банке	люблю грузинскую кухню	живу в однушке	ищу вторую половинку	
Я трудолюбивый.	У меня светлые волосы.	Я люблю сигареты .	Я люблю яблоки.	Я жарю мясо.	
Я люблю серфинг.	Я встречаюсь с парнем.	У меня брат.	Я люблю путешествовать.	Я самостоятельная.	
Я безработный.	Хочу найти жену.	У меня есть дача.	люблю готовить шашлык.	Я хочу отдохнуть в горах.	
Я бухгалтер	Я коллекционирую брелоки	У меня прекрасная дочь	Я много читаю	Я люблю отдыхать на море	
я медсестра.	Я вышла замуж.	У меня красивый дом.	Я хорошо пеку.	Я плаваю на байдарке.	
Я люблю пиво.	У меня есть жена.	Я живу в Волгограде.	Я работаю в банке.	Летом поеду в Крым.	
Я официантка.	У меня двое детей.	Я замужем.	Люблю японскую культуру.	У меня аллергия на животных.	
Я бизнесмен	У меня скоро свадьба	Меня любят только за деньги	Я не люблю людей	не люблю тупые опросы	
У меня дружная семья.	Я люблю общение.	Я катаюсь на велосипеде.	Я люблю прогулки.	Я хорошо готовлю.	
Я шансонье	Имею много нарядов	Я выступаю 3 года	Я нравлюсь людям	Не люблю просыпаться рано по утрам	
Юноша 25 лет.	Закончил ВУЗ,	Достойная работа.	Хороший заработок.	Жду любовь.	
Я домохозяйка.	Я люблю природу.	есть интернет магазин.	Я воспитываю сына.	мечтаю о своем замке.	
Я люблю вино.	Я торгую на рынке.	Мои родители торгуют на рынке.	Я живу на море.	Я люблю шаурму.	
я офицер	служу в Забайкалье	я люблю жену	живу в казарме	я закончил рау	
Я патологоанатом	Я много бухаю	Умею шить крестиком	Вкусно готовлю шашлык	Не умею плавать	
Я люблю бегать.	Я сплю днём.	Я люблю конфеты.	У меня есть собака.	Я слушаю шансон.	
Я домохозяйка.	Я собираю паззлы.	Я занимаюсь йогой.	У меня двое детей.	Я люблю готовить.	
Я обожаю рыбалку.	Я собираюсь пойти гулять.	У меня велосипед.	Меня уволили.	Я боюсь летать.	
Я фитнестренер.	Люблю порядок.	Замужем уже 10 лет.	У меня трое детей.	Обожаю клубную музыку	
я не люблю готовить	у меня есть шиншилла	я стоматолог	вышла замуж по любви	люблю фильмы про любовь	
Я дармоед	Я живу на халяву	У меня все есть	Я люблю море	Я хочу шавуху	
Я кинокритик.	Люблю джаз.	Я сплю по 6 часов.	Я не был на море.	Мечтаю о машине.	
я пенсионер	я люблю суши	у меня есть трое детей	я служил в армии	я люблю ходить в кино	
Я работаю в школе.	У меня большая семья.	Я люблю читать.	Моё хобби-вязание.	Я живу в деревне.	
Я художник.	У меня дружная семья.	Я открыть свою галерею.	Я поеду в Париж.	У меня много друзей	
Я строитель.	У меня есть жена.	Я увлекаюсь рисованием.	У меня есть собака.	Я люблю мясо.	
Я отставной офицер	Мне нравятся песни Круга	Я отличный плотник	У меня есть сын	Люблю японскую кухню	
Я безработный.	Моё хобби кулинария.	Мечтаю открыть кафе.	Люблю путешествовать.	Соблюдаю ЗОЖ	
Я домохозяйка.	Я замужем.	Я не умею кататься на велосипеде.	Я люблю вышивать.	Я не люблю собак.	
я хозяйка	Я занимаюсь с ребенком	Я увлекаюсь дизайном	Этим летом поехать в Крым.	Я люблю котов.	
Я волейболист.	Играю в хоккей.	Люблю животных.	Обожаю суши.	Могу 200 раз отжаться.	
Я студентка	Мне 20 лет	Мечтаю переехать в Москву	Хочу большую семью	Не люблю сидеть без дела	
Я маленького роста.	У меня зеленые глаза.	Я люблю природу.	У меня русые волосы.	Я люблю готовить.	
Работаю бухгалтером.	вегетарианка.	Была в Париже пять раз.	Смотрю сериалы в оригинале.	Парашютистка.	
Я грузчик	Я люблю музыку	Я люблю кушать пельмени	Я живу с бабушкой	Я одинок	
Я работаю в больнице.	Я люблю капусту.	Я поеду на море.	Я хорошо готовлю кушать.	Я поеду за границу.	
Я школьница	У меня есть брат и сестра	У меня 3 племянника	Я люблю рисовать	Я ненавижу физру	
Я люблю путешествовать.	Меня интересуют автомобили.	Институт остался в прошлом.	Обожаю свою семью.	Не сижу на одном месте.	
У меня есть котёнок.	Я люблю своего брата.	Я играю в волейбол.	Я домохозяйка.	Я люблю юбки.	
Я работаю поваром.	Мечтаю водить машину.	Хочу завести мышь.	Люблю плюшки.	Люблю дождь.	
У меня есть сова	Я егерь	Я увлекаюсь живописью	Я мужчина	Я нейтрально отношусь к политике	
Я продавец	У меня есть сын	С мужем в разводе	Живу на съемной квартире	Люблю отдыхать на море	
Я кассир	Я вышла замуж	Имею двоих детей	хорошо владею языками	Много хобби	
Я имею свою пасеку	Я хожу в музеи	Занимаюсь плаваньем	У меня один внук	Я люблю мясные блюда	
У меня есть кот	Я ветеринар	Я увлекаюсь охотой	У меня есть брат	Я не интересуюсь политикой	
Мне 30 лет	Люблю долгие прогулки	Обожаю есть хот-дог	Ненавижу продукцию Макдональдс.	Безработный	
Я остеопат.	У меня четыре кошки.	Люблю ходить на выставки.	Хорошо танцую.	Хочу купить дом.	
Мне 40 лет	Я люблю кошек	Я хочу в горы	Я люблю маму	Я не был в Германии	
Я мужчина	Мне 16 лет	Я люблю молоко	Я общительный	Мою машины	
